AX,AY,AZ,GPS_Lat,GPS_Long,GX,GY,GZ
0.42890173,-0.19201376,-0.54221916,33.8368052,-84.311771,0.25571734,2.5386083,5.6509337
-0.6925545,0.68629605,-0.02077264,33.8368052,-84.311771,-0.20541228,-0.25392073,0.56353635
1.6402395,-2.1546288,-0.10080056,33.8368052,-84.311771,-1.0857507,0.1497174,8.638695
-0.25819325,0.04194475,-0.038882118,33.8368052,-84.311771,-0.48807874,1.1797732,9.719654
0.0015978953,0.001997369,-0.000533,33.8368052,-84.311771,-0.49825954,1.1791743,9.717258
0.008921582,0.02197106,-0.0026631588,33.8368052,-84.311771,-1.0120897,0.76834977,10.339484
0.004660528,1.5414363,-0.5581981,33.8368052,-84.311771,-2.9620092,0.5821013,11.533031
-0.28415903,-0.66272706,1.9959043,33.8368052,-84.311771,1.6073661,2.1882696,3.4956021
0.048735805,-0.16578163,-0.07976161,33.8368052,-84.311771,-0.110192016,-0.110790886,0.27188683
-1.0185251,0.6554034,-0.3210438,33.8368052,-84.311771,-0.19283602,0.2030168,5.779092
1.1174614,0.05060002,0.0054594753,33.8368052,-84.311771,0.11138975,1.6474904,9.652581
0.0011984215,-0.000932,0.0,33.8368052,-84.311771,0.093423665,1.630722,9.634615
-0.272308,0.05419528,-0.39547908,33.8368052,-84.311771,-1.6828237,1.387581,18.609875
0.42131174,0.026897904,0.14873742,33.8368052,-84.311771,0.18385299,0.06827114,4.788562
-0.18815216,-1.2175962,-0.27537063,33.8368052,-84.311771,2.1283827,1.3151177,5.140697
0.22037639,-0.0055926335,0.006524739,33.8368052,-84.311771,-0.10240671,-0.053299397,0.30063257
-0.21265323,0.9599356,0.3635212,33.8368052,-84.311771,-0.62462103,-0.3389602,2.255343
-0.5444828,1.8060211,0.04833633,33.8368052,-84.311771,-0.21798855,0.877344,9.731631
-0.000932,0.0037284223,-0.000266,33.8368052,-84.311771,-0.21858741,0.86536664,9.754988
0.000399,0.0015978953,-0.000399,33.8368052,-84.311771,-0.22457612,0.8623723,9.761575
0.0,0.0015978953,-0.000932,33.8368052,-84.311771,-0.22517498,0.86357003,9.754389
0.000533,0.0017310532,-0.000266,33.8368052,-84.311771,-0.2269716,0.8611745,9.754389
0.000533,0.0017310532,-0.000533,33.8368052,-84.311771,-0.22757046,0.85818017,9.756186
0.000533,0.0014647373,0.000133,33.8368052,-84.311771,-0.23116368,0.8503949,9.754389
0.000533,0.0010652635,-0.000666,33.8368052,-84.311771,-0.23355916,0.8515926,9.75379
0.0010652635,0.0013315794,-0.000133,33.8368052,-84.311771,-0.23595464,0.85518587,9.749598
0.000533,0.0011984215,-0.000666,33.8368052,-84.311771,-0.23176254,0.8503949,9.753191
0.0010652635,0.000799,-0.000533,33.8368052,-84.311771,-0.23715238,0.849796,9.749598
0.000666,0.000533,-0.000399,33.8368052,-84.311771,-0.24194333,0.85638356,9.762174
0.000399,0.0011984215,-0.000399,33.8368052,-84.311771,-0.25212413,0.84560394,9.756186
0.000799,0.000932,-0.000533,33.8368052,-84.311771,-0.23894899,0.8503949,9.756784
0.0011984215,0.0011984215,-0.000399,33.8368052,-84.311771,-0.23954785,0.84680164,9.754988
0.000799,0.000932,-0.000533,33.8368052,-84.311771,-0.24673429,0.8485983,9.762174
0.000799,0.0011984215,-0.000932,33.8368052,-84.311771,-0.24433881,0.8479994,9.758581
-0.000133,0.001997369,-0.0014647373,33.8368052,-84.311771,-0.23835011,0.8485983,9.758581
0.000932,0.0010652635,-0.000399,33.8368052,-84.311771,-0.34494892,0.87614626,9.731631
-0.0010652635,0.0077231606,0.07070687,33.8368052,-84.311771,-0.2856608,0.80368304,9.669349
-0.036485277,-0.11571425,-0.5551354,33.8368052,-84.311771,-3.3650484,0.21559307,17.044428
0.27297378,0.51079386,0.66432494,33.8368052,-84.311771,-0.9276491,1.492982,6.5109105
0.2601906,-0.7993471,1.6763253,33.8368052,-84.311771,1.7762474,2.1241906,7.075046
0.06551371,-0.22690113,0.68083656,33.8368052,-84.311771,1.3163154,0.8797395,4.474754
0.067111604,2.1307933,1.354882,33.8368052,-84.311771,-0.21199985,-0.23116368,0.7557735
-0.81466025,0.7303713,0.84448767,33.8368052,-84.311771,0.76056445,-0.24433881,9.161508
-0.007323687,0.011052109,-0.0026631588,33.8368052,-84.311771,1.5199311,-0.20780776,9.663361
-0.000399,-0.0031957906,-0.000399,33.8368052,-84.311771,1.52053,-0.19882472,9.659168
0.000266,-0.0013315794,0.0,33.8368052,-84.311771,1.5109481,-0.21259873,9.648988
-0.53263175,0.6253097,-0.50959545,33.8368052,-84.311771,-0.15810159,1.0785642,15.788
0.9747161,-0.024767376,0.7588671,33.8368052,-84.311771,-0.5066437,1.7690609,7.932627
-0.04141212,-1.2389015,0.06697845,33.8368052,-84.311771,2.3715239,0.7797283,4.147771
