AX,AY,AZ,GPS_Lat,GPS_Long,GX,GY,GZ
-0.047404226,0.009454214,0.0038615803,33.8123335,-84.2929108,0.74798816,2.0822697,9.65318
-0.0029294747,-0.030759484,-0.027963167,33.8123335,-84.2929108,0.2227795,2.4960887,9.568739
0.0033289485,-0.017576847,0.17164059,33.8123335,-84.2929108,0.75517464,2.3918853,9.688513
0.1139832,0.101732664,0.024234746,33.8123335,-84.2929108,0.64857584,2.3206198,9.683124
0.034754224,-0.013049478,-0.070041075,33.8123335,-84.2929108,0.5401804,2.2679193,9.588502
-0.02197106,0.0139815835,0.015313163,33.8123335,-84.2929108,1.0516151,2.0313659,9.216603
-0.37510592,0.053263176,-0.5803023,33.8123335,-84.2929108,-0.21738967,1.8043942,9.766965
-0.024367902,0.006391581,0.049534753,33.8123335,-84.2929108,-0.04970618,2.0325634,9.665157
-0.18735322,0.12037478,0.5625923,33.8123335,-84.2929108,0.15450837,2.173298,9.454355
0.124502674,0.104262665,0.06404897,33.8123335,-84.2929108,0.42759293,3.2961786,9.40405
0.19387797,-0.18735322,0.0940095,33.8123335,-84.2929108,0.8390164,2.3373883,8.918366
0.22330587,-0.1953427,-0.08562055,33.8123335,-84.2929108,1.4199198,2.701501,9.025564
-0.23715429,-0.29494485,-0.557266,33.8123335,-84.2929108,-0.50604486,2.6104727,9.505857
-0.30919275,0.0030626326,-0.20932429,33.8123335,-84.2929108,0.32578507,2.5925066,9.092638
-0.2045306,0.15326479,0.13315794,33.8123335,-84.2929108,1.0222704,2.0427444,9.716061
0.35633066,0.11211899,0.04394212,33.8123335,-84.2929108,0.41681325,3.0117154,8.753078
-0.21904482,0.14647374,-0.13022846,33.8123335,-84.2929108,-0.41381893,2.6733541,9.4525585
-0.23568955,0.06657897,0.0018642112,33.8123335,-84.2929108,-2.6499982,3.3686416,8.641689
-1.4704632,0.11851057,0.478037,33.8123335,-84.2929108,0.87614626,0.9210615,9.969982
-0.049534753,-0.127299,-1.8723338,33.8123335,-84.2929108,-3.3141446,1.5588577,9.794513
0.13142689,-0.02783001,0.68270075,33.8123335,-84.2929108,0.040723134,2.1649137,9.544186
-0.037816856,0.20160112,1.2888358,33.8123335,-84.2929108,1.55227,1.3330839,9.994535
-0.10745846,-0.049934227,-0.4347607,33.8123335,-84.2929108,1.042632,1.2785866,9.263315
0.17723322,-0.23875219,-0.92331713,33.8123335,-84.2929108,-1.5600554,2.554179,9.70588
0.3701791,0.5277049,1.8323864,33.8123335,-84.2929108,2.4817157,1.1109031,9.592694
0.012383688,-0.08681898,-0.43662488,33.8123335,-84.2929108,0.48268893,2.066699,8.960886
-0.009587372,-0.05685844,-0.35633066,33.8123335,-84.2929108,-0.9210615,2.881162,9.781338
-0.51998174,0.09480845,0.074035816,33.8123335,-84.2929108,-1.3666205,1.6570723,10.965902
0.60986334,-0.17150743,0.69628286,33.8123335,-84.2929108,0.3473444,2.3954785,8.68361
0.017576847,0.23409165,1.1952257,33.8123335,-84.2929108,1.5690384,0.8611745,9.4064455
0.023568956,-0.41585225,-1.2117373,33.8123335,-84.2929108,0.62821424,1.8948236,9.629824
0.22237375,-0.115581095,-1.0483525,33.8123335,-84.2929108,-2.0361567,3.4470937,9.603474
-0.11757846,0.46671858,1.6712654,33.8123335,-84.2929108,1.3121234,1.3672193,9.623835
-0.027696852,-0.023169482,-0.14234585,33.8123335,-84.2929108,0.3808811,1.809784,9.037541
-0.077364765,-0.14141373,-1.5811174,33.8123335,-84.2929108,-1.2983494,2.1259873,9.317214
0.3884217,-0.18389112,-0.27057692,33.8123335,-84.2929108,-1.1432421,3.5201557,8.509338
-0.38775593,0.3079943,1.2836425,33.8123335,-84.2929108,0.57072276,1.3282928,9.8358345
0.009587372,-0.1484711,-0.44048646,33.8123335,-84.2929108,0.4737059,1.7253435,9.242954
-0.24580956,-0.085087925,-0.92930925,33.8123335,-84.2929108,-1.2731968,1.2989483,10.293371
0.19267954,0.0503337,0.07137266,33.8123335,-84.2929108,-1.5319085,2.5805292,9.306434
-0.2776343,0.3238401,1.3836441,33.8123335,-84.2929108,-0.026949134,1.0989258,9.392672
-0.17843165,-0.07177213,-0.18415743,33.8123335,-84.2929108,-0.15510723,0.9623835,9.715462
0.019307902,-0.0620516,-0.8567382,33.8123335,-84.2929108,-0.78931016,1.6846203,9.816072
0.15060163,-0.14447637,-0.49428228,33.8123335,-84.2929108,-1.3756036,2.5655575,9.2615185
-0.26298693,0.31558433,0.97311825,33.8123335,-84.2929108,0.123966016,0.822248,10.056219
0.037950013,-0.049401596,-0.09494161,33.8123335,-84.2929108,-0.88872254,1.7241457,9.6310215
-0.096140034,0.18229322,0.59881127,33.8123335,-84.2929108,5.99E-04,0.7018752,10.016094
0.19241323,-0.19374481,-0.9364998,33.8123335,-84.2929108,-1.0366434,2.2259984,9.17049
0.19427744,-0.18202691,-0.6021402,33.8123335,-84.2929108,-1.0294569,2.9362578,9.023767
-0.0956074,0.048868965,0.27284062,33.8123335,-84.2929108,-0.78032714,2.488902,9.27649
-0.30506483,0.4175833,1.2339746,33.8123335,-84.2929108,-0.8186548,1.346259,9.85979
-0.21678112,0.011185267,0.7998797,33.8123335,-84.2929108,0.010180783,0.94501626,9.960999
0.36738276,-0.42783648,-1.0914956,33.8123335,-84.2929108,-0.15331063,2.6452072,9.388479
0.15939006,-0.082957394,-0.44061962,33.8123335,-84.2929108,-0.8881237,1.6109593,9.422615
-0.0025300009,-0.21571587,-0.29933906,33.8123335,-84.2929108,-1.4726205,1.5241232,10.412546
0.17150743,0.099868454,-0.42743698,33.8123335,-84.2929108,-0.7252311,2.319422,8.733914
-0.17470321,-0.068176866,0.46099278,33.8123335,-84.2929108,-2.7739642,0.5341917,11.44919
-0.019973692,0.59534913,2.0795276,33.8123335,-84.2929108,1.0629936,2.3260098,8.558446
-0.094275825,-0.14713952,0.07896266,33.8123335,-84.2929108,1.0276603,-0.74978477,10.07658
-0.4568649,-0.6632597,-2.6545036,33.8123335,-84.2929108,-3.0728002,1.6474904,8.181757
0.028362641,0.45500067,0.84701765,33.8123335,-84.2929108,-1.1282704,-0.98334396,10.450275
0.015712637,0.91839033,3.5193644,33.8123335,-84.2929108,1.9654901,-0.7324176,9.692106
0.09773793,0.30852696,1.1687273,33.8123335,-84.2929108,1.300146,1.24505,11.7174835
0.23062955,-1.4941653,0.28855327,33.8123335,-84.2929108,1.0444286,1.9624958,11.27971
1.0772477,1.6125426,-0.78882766,33.8123335,-84.2929108,0.04910731,5.888685,6.5899615
-0.07749792,-0.5282375,-0.2688459,33.8123335,-84.2929108,0.99352473,4.0549464,10.021484
-0.3764375,-0.17616795,0.017044216,33.7551173,-84.3877951,-0.35632744,4.064528,9.248343
-0.6221139,-0.08815055,-0.41745013,33.7551173,-84.3877951,-0.5150279,2.4278176,10.6215515
0.002130527,-0.6428865,-0.38709015,33.7551173,-84.3877951,-0.12755923,-0.29464385,0.14253098
-0.422377,0.54088753,-2.6559682,33.7551173,-84.3877951,-3.4423027,1.672044,21.209566
0.018375795,0.037284225,0.0636495,33.7551173,-84.3877951,0.58329904,2.3829024,9.457349
0.024367902,0.1440769,7.99E-04,33.7551173,-84.3877951,-0.15331063,3.9902685,13.415278
0.0049268436,-0.16564848,0.053529494,33.7551173,-84.3877951,1.6732417,2.200247,9.077067
-0.038882118,0.62730706,0.15885742,33.7551173,-84.3877951,-1.153423,2.0319648,5.751544
0.027563693,0.157659,0.023835272,33.7551173,-84.3877951,-0.08204514,0.20601116,0.42819178
-0.5832318,-0.3435475,-0.45420173,33.7551173,-84.3877951,-2.4008684,3.7123928,18.191862
-0.30320063,1.9650117,0.16751269,33.7551173,-84.3877951,0.5114347,2.2313883,9.49927
-0.004261054,-0.05366265,0.0013315794,33.7551173,-84.3877951,0.8557847,2.2206087,11.925291
-0.58735967,-0.44141856,-0.0077231606,33.7551173,-84.3877951,3.8567204,-0.079649664,9.708276
-0.03954791,1.5100111,-0.37310854,33.7551173,-84.3877951,-1.0108919,0.50903916,5.94977
0.45699805,-0.0284958,-0.028096326,33.7551173,-84.3877951,-2.0828686,1.5732305,5.116143
-0.26924536,0.3548659,-0.6386255,33.7551173,-84.3877951,0.07186436,0.046112962,0.7156492
2.842922,-1.3839104,0.24447797,33.7551173,-84.3877951,0.25451958,2.9500318,11.767189
0.0010652635,0.004261054,0.0011984215,33.7551173,-84.3877951,0.08503949,2.5667553,9.728638
-0.84235716,-0.45646542,0.7309039,33.7551173,-84.3877951,3.233896,0.5599431,12.536139
